Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 26.51     16.24    16.24 111661494     0.00     0.00  debug_draw_t::DrawCircle(b2Vec2 const&, float, b2Color const&)
  0.11     57.67     0.07                             void std::__adjust_heap<b2Pair*, long, b2Pair, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, long, long, b2Pair, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
  0.11     57.74     0.07                             void std::__unguarded_linear_insert<b2Pair*, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
  0.11     57.81     0.07  1759746     0.00     0.00  debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&)
  0.11     57.87     0.07                             b2Mat22::SetZero()
  0.10     57.93     0.06                             b2EPCollider::ComputeEdgeSeparation()
  0.10     57.99     0.06                             b2DistanceProxy::Set(b2Shape const*, int)
  0.10     58.05     0.06                             b2GrowableStack<int, 256>::Pop()
  0.10     58.11     0.06                             b2Rot::b2Rot(float)
  0.10     58.17     0.06                             b2Body::GetContactList()
  0.10     58.23     0.06                             bool __gnu_cxx::__ops::_Val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>::operator()<b2Pair, b2Pair*>(b2Pair&, b2Pair*)
  0.10     58.29     0.06                             b2Contact::GetFixtureB()
  0.10     58.35     0.06                             b2Timer::GetMilliseconds() const
  0.09     58.41     0.06                             b2DistanceJoint::Dump()
  0.09     58.46     0.06                             bool __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>::operator()<b2Pair*, b2Pair*>(b2Pair*, b2Pair*)
  0.08     58.51     0.05                             b2CollideCircles(b2Manifold*, b2CircleShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&)
  0.08     58.56     0.05                             b2MulT(b2Transform const&, b2Vec2 const&)
  0.08     58.61     0.05                             b2MulT(b2Transform const&, b2Transform const&)
  0.08     58.66     0.05                             b2FindIncidentEdge(b2ClipVertex*, b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&)
  0.08     58.71     0.05                             b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&)
  0.08     58.76     0.05                             b2SimplexVertex::b2SimplexVertex()
  0.08     58.81     0.05                             b2Body::SynchronizeFixtures()
  0.08     58.86     0.05                             b2World::DrawDebugData()
  0.08     58.91     0.05                             b2AABB::GetPerimeter() const
  0.08     58.96     0.05                             b2Mat33::Solve22(b2Vec2 const&) const
  0.07     59.01     0.05                             b2Vec2::SetZero()
  0.07     59.05     0.05                             b2Body::GetMass() const
  0.07     59.09     0.04                             b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  0.07     59.13     0.04                             b2EdgeShape::b2EdgeShape()
  0.07     59.17     0.04                             void b2BroadPhase::UpdatePairs<b2ContactManager>(b2ContactManager*)
  0.07     59.21     0.04                             debug_draw_t::DrawPolygon(b2Vec2 const*, int, b2Color const&)
  0.07     59.25     0.04                             b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&)
  0.07     59.29     0.04                             b2RevoluteJoint::Dump()
  0.07     59.33     0.04                             b2StackAllocator::Allocate(int)
  0.07     59.37     0.04                             cs251::callbacks_t::display_cb()
  0.07     59.41     0.04                             b2World::DrawJoint(b2Joint*)
  0.07     59.45     0.04                             b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&)
  0.07     59.49     0.04                             b2Simplex::b2Simplex()
  0.07     59.53     0.04                             b2DynamicTree::GetUserData(int) const
  0.07     59.57     0.04                             b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  0.07     59.61     0.04                             b2Simplex::WriteCache(b2SimplexCache*) const
  0.07     59.65     0.04                             b2Simplex::GetClosestPoint() const
  0.07     59.69     0.04                             void std::swap<b2Pair>(b2Pair&, b2Pair&)
  0.06     59.73     0.04                             b2Sweep::Normalize()
  0.06     59.76     0.04                             b2Body::IsActive() const
  0.05     59.79     0.03                             int b2Max<int>(int, int)
  0.05     59.82     0.03                             int b2Min<int>(int, int)
  0.05     59.85     0.03                             b2DynamicTree::RemoveLeaf(int)
  0.05     59.88     0.03                             b2PulleyJoint::InitVelocityConstraints(b2SolverData const&)
  0.05     59.91     0.03                             b2TempPolygon::b2TempPolygon()
  0.05     59.94     0.03                             b2ContactSolver::StoreImpulses()
  0.05     59.97     0.03                             b2GrowableStack<int, 256>::GetCount()
  0.05     60.00     0.03                             b2Rot::b2Rot()
  0.05     60.03     0.03                             b2Timer::Reset()
  0.05     60.06     0.03                             b2Island::Add(b2Body*)
  0.05     60.09     0.03                             b2Simplex::Solve2()
  0.05     60.12     0.03                             b2BroadPhase::TestOverlap(int, int) const
  0.05     60.15     0.03                             b2ChainShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  0.05     60.18     0.03                             b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  0.05     60.21     0.03                             b2DynamicTree::GetFatAABB(int) const
  0.05     60.24     0.03                             b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const
  0.03     60.26     0.02    17843     0.00     0.00  cs251::base_sim_t::step(cs251::settings_t*)
  0.03     60.28     0.02                             b2DistanceSquared(b2Vec2 const&, b2Vec2 const&)
  0.03     60.30     0.02                             b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int)
  0.03     60.32     0.02                             b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&)
  0.03     60.34     0.02                             float b2Abs<float>(float)
  0.03     60.36     0.02                             b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&)
  0.03     60.38     0.02                             b2PulleyJoint::SolvePositionConstraints(b2SolverData const&)
  0.03     60.40     0.02                             b2PulleyJoint::b2PulleyJoint(b2PulleyJointDef const*)
  0.03     60.42     0.02                             b2CircleContact::b2CircleContact(b2Fixture*, b2Fixture*)
  0.03     60.44     0.02                             b2DistanceInput::b2DistanceInput()
  0.03     60.46     0.02                             b2DistanceProxy::b2DistanceProxy()
  0.03     60.48     0.02                             b2WorldManifold::b2WorldManifold()
  0.03     60.50     0.02                             b2BlockAllocator::Allocate(int)
  0.03     60.52     0.02                             b2ChainAndPolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&)
  0.03     60.54     0.02                             b2PolygonAndCircleContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&)
  0.03     60.56     0.02                             b2AABB::b2AABB()
  0.03     60.58     0.02                             b2Body::SynchronizeTransform()
  0.03     60.60     0.02                             b2Body::Dump()
  0.03     60.62     0.02                             b2Island::Add(b2Joint*)
  0.03     60.64     0.02                             b2Island::Add(b2Contact*)
  0.03     60.66     0.02                             b2Contact::FlagForFiltering()
  0.03     60.68     0.02                             void std::__iter_swap<true>::iter_swap<b2Pair*, b2Pair*>(b2Pair*, b2Pair*)
  0.03     60.70     0.02                             void std::__unguarded_insertion_sort<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
  0.02     60.72     0.02  1707809     0.00     0.00  b2Shape::~b2Shape()
  0.02     60.73     0.02                             _GLOBAL__sub_I_b2_defaultFilter
  0.02     60.75     0.02                             b2ContactSolver::SolveTOIPositionConstraints(int, int)
  0.02     60.76     0.02                             b2PolygonShape::Validate() const
  0.02     60.78     0.02                             b2World::IsLocked() const
  0.02     60.79     0.01                             b2Cross(b2Vec3 const&, b2Vec3 const&)
  0.02     60.80     0.01                             b2BroadPhase::QueryCallback(int)
  0.02     60.81     0.01                             b2BroadPhase::MoveProxy(int, b2AABB const&, b2Vec2 const&)
  0.02     60.82     0.01                             b2DynamicTree::DestroyProxy(int)
  0.02     60.83     0.01                             b2CircleContact::Create(b2Fixture*, int, b2Fixture*, int, b2BlockAllocator*)
  0.02     60.84     0.01                             b2GrowableStack<int, 256>::~b2GrowableStack()
  0.02     60.85     0.01                             b2ContactManager::~b2ContactManager()
  0.02     60.86     0.01                             b2PolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&)
  0.02     60.87     0.01                             b2PolygonContact::b2PolygonContact(b2Fixture*, b2Fixture*)
  0.02     60.88     0.01                             b2PrismaticJoint::SolveVelocityConstraints(b2SolverData const&)
  0.02     60.89     0.01                             b2StackAllocator::Free(void*)
  0.02     60.90     0.01                             b2SeparationFunction::b2SeparationFunction()
  0.02     60.91     0.01                             b2Body::SetType(b2BodyType)
  0.02     60.92     0.01                             b2Vec2::operator*=(float)
  0.02     60.93     0.01                             b2Joint::GetBodyA()
  0.02     60.94     0.01                             b2Mat22::b2Mat22()
  0.02     60.95     0.01                             b2Sweep::Advance(float)
  0.02     60.96     0.01                             b2Timer::b2Timer()
  0.02     60.97     0.01                             b2World::Step(float, int, int)
  0.02     60.98     0.01                             b2Island::Report(b2ContactVelocityConstraint const*)
  0.02     60.99     0.01                             __gnu_cxx::__ops::_Iter_comp_val<bool (*)(b2Pair const&, b2Pair const&)> __gnu_cxx::__ops::__iter_comp_val<bool (*)(b2Pair const&, b2Pair const&)>(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
  0.02     61.00     0.01                             __gnu_cxx::__ops::_Val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> __gnu_cxx::__ops::__val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
  0.02     61.01     0.01                             b2Contact::b2Contact(b2Fixture*, int, b2Fixture*, int)
  0.02     61.02     0.01                             b2PolygonShape::RayCast(b2RayCastOutput*, b2RayCastInput const&, b2Transform const&, int) const
  0.02     61.03     0.01                             b2StackAllocator::GetMaxAllocation() const
  0.02     61.04     0.01                             b2SeparationFunction::Evaluate(int, int, float) const
  0.02     61.05     0.01                             b2AABB::Contains(b2AABB const&) const
  0.02     61.06     0.01                             b2Body::GetWorldCenter() const
  0.02     61.07     0.01                             b2Body::GetType() const
  0.02     61.08     0.01                             b2Body::IsBullet() const
  0.02     61.09     0.01                             b2Mat33::Solve33(b2Vec3 const&) const
  0.02     61.10     0.01                             b2Simplex::GetMetric() const
  0.02     61.11     0.01                             b2Pair* std::__copy_move_backward<false, true, std::random_access_iterator_tag>::__copy_move_b<b2Pair>(b2Pair const*, b2Pair const*, b2Pair*)
  0.02     61.12     0.01                             void std::__pop_heap<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
  0.02     61.13     0.01                             void std::__push_heap<b2Pair*, long, b2Pair, __gnu_cxx::__ops::_Iter_comp_val<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, long, long, b2Pair, __gnu_cxx::__ops::_Iter_comp_val<bool (*)(b2Pair const&, b2Pair const&)>)
  0.02     61.14     0.01                             void std::__sort_heap<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
  0.02     61.15     0.01                             b2Pair* std::__copy_move_backward_a<false, b2Pair*, b2Pair*>(b2Pair*, b2Pair*, b2Pair*)
  0.02     61.16     0.01                             b2Pair* std::__unguarded_partition_pivot<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
  0.02     61.17     0.01                             std::__lg(long)
  0.02     61.18     0.01                             operator==(b2Vec2 const&, b2Vec2 const&)
  0.01     61.18     0.01        4     1.25     1.25  cs251::dominos_t::dominos_t()
  0.01     61.19     0.01                             b2IsValid(float)
  0.01     61.19     0.01                             debug_draw_t::DrawTransform(b2Transform const&)
  0.01     61.20     0.01                             operator delete(void*, void*)
  0.01     61.20     0.01                             operator-(b2Vec3 const&, b2Vec3 const&)
  0.00     61.20     0.00  1628017     0.00     0.00  b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*)
  0.00     61.20     0.00  1627231     0.00     0.00  b2ContactListener::PreSolve(b2Contact*, b2Manifold const*)
  0.00     61.20     0.00    20769     0.00     0.00  cs251::base_sim_t::BeginContact(b2Contact*)
  0.00     61.20     0.00    19928     0.00     0.00  b2ContactListener::EndContact(b2Contact*)
  0.00     61.20     0.00    17843     0.00     0.00  debug_draw_t::DrawString(int, int, char const*, ...)
  0.00     61.20     0.00    17843     0.00     0.00  cs251::base_sim_t::draw_title(int, int, char const*)
  0.00     61.20     0.00      201     0.00     0.00  cs251::dominos_t::mouse_move(b2Vec2 const&)
  0.00     61.20     0.00       24     0.00     0.00  cs251::arc_create(b2Vec2, float, float, float, bool, int, b2World*) [clone .constprop.15]
  0.00     61.20     0.00        8     0.00     0.00  cs251::spiral_create(b2Vec2, float, float, float, bool, float, float, bool, int, int, b2World*) [clone .constprop.11]
  0.00     61.20     0.00        5     0.00     0.00  cs251::dominos_t::mouse_down(b2Vec2 const&)
  0.00     61.20     0.00        5     0.00     0.00  cs251::dominos_t::mouse_up(b2Vec2 const&)
  0.00     61.20     0.00        4     0.00     0.00  cs251::base_sim_t::base_sim_t()
  0.00     61.20     0.00        3     0.00     0.00  cs251::base_sim_t::~base_sim_t()
  0.00     61.20     0.00        3     0.00     1.67  cs251::dominos_t::create()
  0.00     61.20     0.00        3     0.00     0.00  cs251::dominos_t::~dominos_t()
  0.00     61.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5cs25110test_indexE
  0.00     61.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5cs25114collision_flagE
  0.00     61.20     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5cs2513dj1E
  0.00     61.20     0.00        1     0.00     0.00  _GLOBAL__sub_I_flag

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.02% of 61.20 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     30.8    1.86   17.00                 b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [1]
               16.24    0.00 111661494/111661494     debug_draw_t::DrawCircle(b2Vec2 const&, float, b2Color const&) [2]
                0.50    0.00 111661494/112577941     debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [17]
                0.20    0.00  838364/838364      debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [46]
                0.07    0.00 1759746/1759746     debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&) [89]
-----------------------------------------------
               16.24    0.00 111661494/111661494     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [1]
[2]     26.5   16.24    0.00 111661494         debug_draw_t::DrawCircle(b2Vec2 const&, float, b2Color const&) [2]
-----------------------------------------------
                                                 <spontaneous>
[3]      7.9    4.86    0.00                 b2Mul(b2Transform const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[4]      6.8    4.19    0.00                 operator-(b2Vec2 const&, b2Vec2 const&) [4]
-----------------------------------------------
                                                 <spontaneous>
[5]      4.8    2.92    0.00                 operator*(float, b2Vec2 const&) [5]
-----------------------------------------------
                                                 <spontaneous>
[6]      3.7    2.29    0.00                 b2Vec2::b2Vec2(float, float) [6]
-----------------------------------------------
                                                 <spontaneous>
[7]      2.9    1.78    0.00                 b2World::Solve(b2TimeStep const&) [7]
-----------------------------------------------
                                                 <spontaneous>
[8]      2.8    1.74    0.00                 b2ContactSolver::SolveVelocityConstraints() [8]
-----------------------------------------------
                                                 <spontaneous>
[9]      2.2    1.33    0.00                 b2World::SolveTOI(b2TimeStep const&) [9]
-----------------------------------------------
                                                 <spontaneous>
[10]     1.9    1.17    0.00                 operator+(b2Vec2 const&, b2Vec2 const&) [10]
-----------------------------------------------
                                                 <spontaneous>
[11]     1.8    1.10    0.00                 b2Cross(float, b2Vec2 const&) [11]
-----------------------------------------------
                                                 <spontaneous>
[12]     1.7    1.05    0.00                 b2Contact::GetFixtureA() [12]
-----------------------------------------------
                                                 <spontaneous>
[13]     1.5    0.94    0.00                 b2Mul(b2Rot const&, b2Vec2 const&) [13]
-----------------------------------------------
                                                 <spontaneous>
[14]     1.2    0.72    0.00                 b2Dot(b2Vec2 const&, b2Vec2 const&) [14]
-----------------------------------------------
                                                 <spontaneous>
[15]     1.0    0.64    0.00                 b2ContactManager::Collide() [15]
-----------------------------------------------
                                                 <spontaneous>
[16]     1.0    0.61    0.00                 b2Vec2::b2Vec2() [16]
-----------------------------------------------
                0.00    0.00  916447/112577941     b2World::DrawJoint(b2Joint*) [114]
                0.50    0.00 111661494/112577941     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [1]
[17]     0.8    0.50    0.00 112577941         debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [17]
-----------------------------------------------
                                                 <spontaneous>
[18]     0.8    0.47    0.00                 float b2Min<float>(float, float) [18]
-----------------------------------------------
                                                 <spontaneous>
[19]     0.7    0.41    0.00                 b2MulT(b2Rot const&, b2Vec2 const&) [19]
-----------------------------------------------
                                                 <spontaneous>
[20]     0.7    0.41    0.00                 b2Cross(b2Vec2 const&, float) [20]
-----------------------------------------------
                                                 <spontaneous>
[21]     0.7    0.40    0.00                 b2Cross(b2Vec2 const&, b2Vec2 const&) [21]
-----------------------------------------------
                                                 <spontaneous>
[22]     0.6    0.38    0.00                 float b2Max<float>(float, float) [22]
-----------------------------------------------
                                                 <spontaneous>
[23]     0.6    0.36    0.00                 b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [23]
-----------------------------------------------
                                                 <spontaneous>
[24]     0.6    0.36    0.00                 b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [24]
-----------------------------------------------
                                                 <spontaneous>
[25]     0.6    0.36    0.00                 b2Contact::IsEnabled() const [25]
-----------------------------------------------
                                                 <spontaneous>
[26]     0.6    0.35    0.00                 b2Max(b2Vec2 const&, b2Vec2 const&) [26]
-----------------------------------------------
                                                 <spontaneous>
[27]     0.6    0.35    0.00                 b2Vec2::operator-() const [27]
-----------------------------------------------
                                                 <spontaneous>
[28]     0.6    0.35    0.00                 b2Body::IsAwake() const [28]
-----------------------------------------------
                                                 <spontaneous>
[29]     0.6    0.34    0.00                 b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [29]
-----------------------------------------------
                                                 <spontaneous>
[30]     0.5    0.33    0.00                 b2DistanceProxy::GetSupport(b2Vec2 const&) const [30]
-----------------------------------------------
                                                 <spontaneous>
[31]     0.5    0.32    0.00                 b2Fixture::GetBody() [31]
-----------------------------------------------
                                                 <spontaneous>
[32]     0.5    0.31    0.00                 b2ContactSolver::InitializeVelocityConstraints() [32]
-----------------------------------------------
                                                 <spontaneous>
[33]     0.5    0.30    0.00                 b2ContactManager::AddPair(void*, void*) [33]
-----------------------------------------------
                                                 <spontaneous>
[34]     0.5    0.29    0.00                 b2Min(b2Vec2 const&, b2Vec2 const&) [34]
-----------------------------------------------
                                                 <spontaneous>
[35]     0.5    0.28    0.00                 b2Vec2::operator-=(b2Vec2 const&) [35]
-----------------------------------------------
                                                 <spontaneous>
[36]     0.5    0.28    0.00                 b2ContactSolver::SolvePositionConstraints() [36]
-----------------------------------------------
                                                 <spontaneous>
